,freq
몇번,1
붓기,1
콤,1
방향,1
뀌,1
외국,4
그램,5
신분,15
떡볶이,4
저체중,9
주식,2
비일,1
생선,1
걱정,28
충분,1
불량,2
꿀,33
엘지,1
잇몸,3
보냉,1
집,12
마취,1
맨붕되,1
브레짜,2
필수,4
바,1
요령,2
과일,3
실,4
제일,13
기적,2
문제점,1
통곡,3
우엉,1
가야,19
포트,1
부작용,2
드네,1
대량,1
수영,1
접대,1
예약,1
위액,1
꼭지,9
초산,19
즘,3
백만,2
양수,1
분리,5
브랜드명,2
카보,4
캑,1
섭취,3
포기,30
삼일,1
사례,1
산후조리원,9
깔때기,3
답글,2
업,2
유통,6
최고,2
때때,1
완,37
어디,5
가지,3
구경,1
머금,1
통장,1
젖떼기,1
유실,4
젠,6
스케줄,14
수의,1
조바심,1
개원,1
능건,1
커서,4
모든,1
가래,1
뒤척,1
로,6
벌레,1
금기,1
선배,14
기미,2
힙먹,1
연어초밥,1
뜬금,1
정도,21
만성,1
출산,423
배꼽,1
유아식,3
여러,8
연두색,1
안해,1
덧글,1
맨붕,1
둘레,1
이유식,142
완불할까,1
지속,1
아하,2
준,1
삼십분,1
리터,1
보아,2
마늘,1
캐럿,1
폐,2
하라,1
유영,1
파스,2
종기,1
락,31
위경련,1
병과,1
탈,18
유륜,19
바끌깨,1
겹,1
남자,11
무더기,1
렵니,1
뿜는,2
오메가,2
압,129
대박,1
우울증,3
케어,10
저절로,1
유통기간,1
신생아,644
간식,5
찬양,1
무조건,8
한잔,3
커피믹스,2
정인지,2
병행,1
그린,1
토라,1
수로,28
사지,3
유리,2
부,17
오픈,2
스팀,1
정말,9
잠도,3
도저히,3
경험,2
유발,1
당장,1
고분,1
뱃골,4
겨,1
금,2
통증,53
자네,7
역류,10
제주도,2
떼,1
암거,1
샘플,2
효과,2
둘이서,1
직수,551
저리,2
유후,1
가신,6
적응,4
외과,2
냉동,26
반영,1
아빠,3
통일,1
잡,2
수면시간,8
찌찌,1
충격,1
오케타,6
씨,1
패스,1
부차,1
달라,45
레모,1
스트레스,37
석류,1
돌파,1
우일,1
유구,6
달달,2
잉어,1
사진,15
패턴,35
시밀락,2
완모님들,5
탕기,3
스펙트라,1
크게,2
다음,16
밥,6
이빨,4
여부,1
얘기,2
그저께,1
마스크,1
가능,7
누운,1
조리,349
온,4
여야,2
잡음,1
대부분,1
회사,4
게해,1
리,1
손목,1
도나,10
여,36
벌꿀,1
껏,3
빼,5
안,50
급성,4
씨밀,1
어가,1
비염,1
잔,8
정서,1
증,5
퇴행기,1
조산,2
조제,1
덴,1
위치,126
샴푸,1
바늘,2
진,1
달,118
던,2
껍질,1
구분,1
트리,5
상,1
내용,2
딸꾹질,2
황금,3
분수,38
수마,1
잔트름,1
앞,4
친구,1
생리,53
브리,1
졸림,1
나,23
이다지,1
영상,1
마지막,7
경제,1
울면,17
구합,3
일,21
특정,1
오버,1
아이엠,19
체크,11
발라,4
눠,2
콤비,2
트릴,1
골드,1
치아,1
가려움증,1
몸,2
의견,7
간반,1
치석제거,1
병원,43
접촉성,1
왜,85
아메리카노,1
신우염,1
베이비,8
약,89
커피포트,2
내일,12
쓰시,16
달기,1
멸균,1
노예,1
매콤,1
대하,1
불가능,1
나가요,2
누,1
최대,1
딥,2
민,11
시가,1
님들,1
위해,1
주먹,1
조립,1
장점,1
띵,1
수어,1
양보,1
임산부,1
카프리,1
양,747
주하,2
건초염,1
치킨,1
전기,1
억지로,6
옥수수,1
이오,68
유관,1
아래,2
토닝,1
회,4
신경,1
유물,7
합치기,1
이유,25
낼,11
차요,6
젖병,334
의존,1
실온,4
이영,1
헬,1
불,1
똘똘,1
치과,1
위생,1
갈이,1
뱃살,1
개봉,1
완모할,10
엠쓰,1
완전,5
혈,4
날름,1
며칠,39
이부프로펜,1
찬물,1
환경호르몬,1
제왕절개,91
미미,2
온종일,1
손수건,1
촙촙,1
뽈록,1
잠수,1
케이스,2
슬슬,1
일주일,27
카브,3
디카,2
치통,1
울,23
권고,1
시댁,1
초록빛,1
관,3
건가,160
깨무,1
야간,1
생활,5
살,15
금방,13
농도,2
드,24
신생,10
깜짝,1
버둥,1
양적,3
사리,1
못,2
원장,1
밀크,4
옮을까,1
상한,3
관련,31
소환,1
단점,2
애도,1
이하,2
네일,1
도일,1
잠시간,4
이애,1
가이아,1
확,1
베넷,1
사이즈,56
디톡스,1
간격,7
재수,3
기기,2
짝짝이,7
그로,2
파마,1
전,80
몸부림,2
계산,6
형태,1
홍,1
각,2
또래,1
터울,2
통,87
꽉,2
파상풍,1
페리,6
와이어,1
때,642
시점,2
양치,2
이틀,17
콜,4
울음소리,1
증유,2
유용,1
면역,1
오름,1
맛,20
자라,1
두드러기,6
한컴,5
어젠,1
치료,5
퇴행,1
어머니,1
하루하루,4
부용,1
헛빨아,1
수라,1
소모품,1
지칭,30
치기,1
남편,2
수입,4
개수,7
냉큼,1
더블,21
유질,3
상하,2
적임,2
뭐,93
엄만데,1
최근,1
젤페디,1
가늠,3
락토스,1
기분,12
부족,28
현저,1
먹이,111
검은색,1
타나,4
수일,3
밤수,10
관계,2
어쩌면,2
소시지,1
계속,136
싸움,1
숱,1
야식,1
증상,26
오스트리아,5
가방,1
리파,1
머글,1
유목민,1
그냥,3
화가,3
노발랍이,1
보시,1
아쿠아,1
완보하,2
어도,7
열꽃,1
피부염,1
궁,24
염,61
오늘,39
지나,4
코,1
물수건,1
이면,1
유추,1
홍삼,2
자문,1
물어,39
어떻게,23
담,2
시트,1
엇데,1
등,12
타로,1
비어,1
동일,2
배탈,4
일동후디스,3
민트,1
해외여행,2
분할,2
여름철,1
우량,9
밤잠,17
찌릿감,1
손가락,3
모두,1
맥일,1
이내,2
장,1
축량,1
제,14
점점,1
햄버거,1
장거리,2
유즙,18
직전,2
휴대,4
초음파,1
퇴소,71
반증,1
유산균,27
친정엄마,1
허겁지겁,2
몇,7
산모,7
얼,12
황달,27
킨더밀쉬,5
퓨,2
독감,1
제바,1
엉망,10
보름,1
늪,1
적령,1
순간,1
정답,1
반수,42
제왕,139
데리,4
무,6
알마,1
단동,1
자연,35
후디,1
배,9
월요일,3
보디,1
가슴골,1
이나,2
산후조리,3
검,2
번갈아,6
코감기,1
항,2
팔뚝,1
힙,3
매일,3
정,4
식후,2
소양증,1
촬영,2
방구,1
집착,8
전후,21
엉엉,1
질겅질겅,1
빠나,4
마시기,1
울안,1
멀티,1
계획,5
차고,3
행거,1
혼합,442
그,1
조,1
헬스,1
컵라면,1
텀,300
움직,2
식,4
미역국,2
모유수유,9
고기,2
다이어트,5
소대,1
제조법,1
뻐팅겨,2
질의,1
왼쪽,6
밤수텀,1
땅콩,1
씨름,1
적당,1
치밀유방,2
중탕,23
하니,2
방,1
수인,4
숨쉬기,1
매트,1
혹시,25
모기,1
진물,1
상담,5
불리,2
기네,1
템,1
딜레마,2
산,2
끼리,1
간청,1
우유부단,1
닥터,5
틈틈이,1
밤,100
류,3
풀,1
하나요,439
주서,1
치즈,3
알,2
팽창,1
당분간,1
힐로,1
조금,33
골든타임,1
세이프,1
채,4
감당,1
헝헝,1
란,1
보관,47
맘때,1
맥심,1
얼굴,1
청소기,1
유색,6
업그레이드,1
조언,114
교실,1
토장,1
소화,17
앓이,2
신비,1
손,4
동해,1
노하우,9
고수,8
찌릿함,2
아들,1
짐,4
밀,6
물건,1
끼,6
흡입,1
플러스,2
균,2
내면,2
유방암,1
감수,1
장량,1
모,35
유로,2
의식,1
강요,4
식욕,1
색인,1
토안,1
왕하,1
변비,17
어요,4
힙분워,1
뭉치,7
태기,1
산후,13
교촌,1
적기,1
고춧가루,1
입술,2
푸룬,2
잘못,19
살짝,1
눈치,1
언제,138
기와,1
는걸,1
서일,1
취해,1
어째,7
햐,1
일전,2
수용,4
블랜드,1
추석,2
니플,1
트루,8
렉스,1
엄마젖,5
눌려,1
둘째,21
단축,1
감기,20
취침,1
이세,8
중딜,1
보,5
샘,1
대요,6
헤켄,5
젖물잠,5
한지,4
수준,1
세뇨,1
액,73
무제한,1
해도,15
피자헛,1
파진,1
덜,3
고무장갑,1
건전지,1
반대편,1
공부,1
최대한,2
통잠,61
바로,76
비정상,1
다래끼,4
어지러움,1
가장,1
뿌지직,1
목,8
느네,1
내과,1
국물,1
우울함,1
감염,3
잠결,4
치밀,3
덕,1
우울,2
절반,1
전문가,3
나나,6
평균,12
주문,2
예행,1
방이,1
비틀,1
상처,17
난국,2
페인,2
빙빙,1
팔,1
델까,1
음료,2
깨,21
대상포진,2
통계,1
자기,20
셀,1
잠깐,1
용법,5
방광염,4
유축해,5
충돌,1
개,53
노력,7
저,22
크림,1
산전,1
성공사례,1
한마디,1
잠드네,1
건,2
성질,1
젖비린내,1
혈색,1
시도,5
센서티브,21
데스,1
짬뽕,1
백숙,1
남양,4
인스턴트,2
정리,1
음식,169
이제껏,1
모유,2814
산이,1
고생,2
테,2
법,122
어멍,1
가까이,3
스푼,10
졸리,2
규칙,2
죽도,1
하루아침,1
고개,1
안무,8
프,2
스스로,3
우리,7
근처,5
걸,3
원인,2
지식,1
요청,3
엉터리,1
모하,7
상황,7
비판,1
커넥터,1
제자리,1
고여,2
무릎,1
초반,2
손님,1
놀잠,3
괜창,1
동작,1
칼슘,4
정하나,2
소,2
밀로,5
뉴질랜드,4
셰이크,2
부비동염,1
절망,3
죄책감,3
트러블,1
중화요리,1
베리,1
장지연,1
도우미,14
구슬,1
냉장고,5
멍울,8
진창,3
절대로,1
요새,3
분비,1
호박,1
치면,2
말,30
쪽쪽,1
황,1
족발,3
각질,3
몸살,77
옹,2
오작,1
방귀,17
안도,1
회수,1
뢰벤짠,7
자서,4
거려,5
밤소,1
고서,2
판단,1
기념,1
퇴,14
신호,6
짜파게티,1
습기,1
수가,12
목표,2
궁금증,8
리타,2
갑자기,160
총량,12
여자,7
구별,4
물똥,3
표현,1
표준,1
기일,9
교정,3
네,1
모직,1
목요일,1
뒤언,1
전구,1
좀,395
문제,24
래서,1
변온,1
수만,45
잠시,5
완모,374
짓,4
초밥,1
온몸,1
무안,2
용,12
놀,2
끼니,2
가요,92
콘트라,1
젓,3
수돗물,2
마르고,1
죽음,1
생맥주,1
저녁때,1
극복,20
물량,1
달이,1
옷,1
유제품,2
호출,1
초록,1
새내기,1
염색,1
유당불내증,3
거부,362
거가,2
엄마,58
돌멩이,1
빵,2
유단,2
바삭,1
락토,1
식초,1
장기간,1
돌진,1
어멈님들,1
누가,4
칼디,1
축도,4
징글징글,1
직,196
평일,1
엽떡먹,1
예방,3
멕어,1
점프,2
징조,1
물총,1
수요일,2
과자,2
퍼먹으,1
유성,1
뒤,28
별로,1
멘붕,7
내내,1
맥시,1
사태,2
해독,1
요량,1
듯,2
머,2
여기,1
차서,4
액체,1
용량,2
짝,4
관절,1
치즈케이크,2
담해,1
지적,2
지금,56
더위,1
무리,2
려고,5
땡땡,1
남아,41
문신,2
목욕,5
면안,1
유당,1
안눠,1
쉬,3
티슈,1
하소연,1
눈,4
중일,1
배트,2
제대로,19
라인,1
이스트,3
워머,3
감격,1
소하,10
땐,10
느낌,41
이주,1
일회용,4
퇴실,5
차이,10
타도,3
간자,1
행동,8
플라스틱,1
예정,20
탈모,1
전달,1
뀌면,1
패드,3
응원,1
캑캑거리,1
지옥,1
유기농,10
보렷,1
도로,3
사람,4
찬,4
그동안,2
아시,9
돌프,1
면,1
유미리,1
맥스,1
비빔면,2
바람,2
단,55
전쟁,3
견과류,1
어찌,56
장난,4
요즘,9
발락,52
얼얼,1
서로,1
시간대,2
화장품,2
감,9
생수,2
급진,1
앱설,16
고체,1
킬로,43
쌩뚱,1
고추,2
지난,45
애기,1
강,1
자세,35
세,9
구매,1
입가,1
미리,15
칼,1
구역질,2
외부,1
더드네,1
브랜드,13
혼돈,1
부정,1
착용,1
닥트,1
임페,1
진수완,5
주황색,1
미열,1
유모,1
기록,2
불규칙,1
입단,2
소주,1
대변,7
얼마나,199
거의,16
가능성,3
명치,1
징,1
토요일,1
실감,18
과로,1
만국,1
아래쪽,2
공기,2
타임,7
예방접종,1
수술,11
전환,3
방울,7
반품,1
거나,3
전량,42
볼,1
경옥고,1
알람,1
한번,48
뭄,1
오열,1
수정,2
매번,10
흉터,1
총수,7
그림,1
파티,2
엑스레이,2
젖꼭지,228
숨,1
긴수유텀,1
분유,2607
하루,189
경유,1
연명,1
쉰,1
자신,2
애증,1
빵빵,1
아이스크림,1
퓨어,42
수기,3
바텀,1
도움,31
사골,1
눈썹,1
부산,1
반구,2
꿀꺽,1
사면,2
수유,807
원래,7
색상,1
레드,1
냥,29
눈물,2
유비,1
작고,1
가슴,402
쮸쮸,1
수축,1
싸이,1
좀비,1
술,2
세지,1
축하,102
몸무게,127
후유,13
백일,107
도리도,1
초,4
매너,3
주르륵,1
소요,1
빠네,3
배꼴,1
수포,2
먼저,1
아예,1
답변,17
막국수,1
고이,1
생리통,1
질문,521
에스,2
치료법,1
미백,1
도대체,8
왓믄데,1
차이점,2
시리,1
사레,9
반나절,1
연어,1
여태,1
예비,1
사,2
입,2
전류,1
젤패디,1
히프,89
혼동,14
일부러,6
지면,2
지남,1
르,1
순산,1
인생,1
수유로,9
분만,10
사용,28
자궁,1
남,3
애가,20
스타일,1
파괴,1
검사,1
속도,4
잠투,5
번만,1
초보,25
냉동고,2
갈등,2
땜,13
드림,1
보호,60
밤낮,2
새,3
널,2
선택,8
깜놀,1
마더,17
상태,12
프레,26
첨부,2
어쩌,16
단위,17
기도,8
따끔거릴,1
심장,1
칼로리,1
간이,1
공법,1
의지,1
함스,1
체중,42
토막,1
주사,1
정기,2
유시,29
가나,7
첫날,10
오히려,1
유전,3
하겐,1
똥,18
항생제,2
처방,6
스테로이드,2
정해진,3
유량,555
량,10
입원,11
호캉스,1
정상,15
덩이,10
먹음,9
아메,1
구런,1
비비고,1
뒤죽박죽,5
찜질,8
차도,3
번,107
축의,2
심일,1
은,5
보리,1
수박,4
관악구,1
박수,20
침대,2
샤워,1
